id,stationName,latitude,longitude,neighbourhood,availableDocks,totalDocks,city,color,borough
72,W 52 St & 11 Ave,40.76727216,-73.99392888,Hell's Kitchen,34,39,NYC,#AD78C0,Manhattan
79,Franklin St & W Broadway,40.71911552,-74.00666661,Tribeca,6,33,NYC,#E1A0A0,Manhattan
82,St James Pl & Pearl St,40.71117416,-74.00016545,Two Bridges,5,11,NYC,#E2F5FB,Manhattan
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,Fort Greene,25,62,NYC,#F8F4BC,Brooklyn
119,Park Ave & St Edwards St,40.69608941,-73.97803415,Fort Greene,11,19,NYC,#F8F4BC,Brooklyn
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,Clinton Hill,13,19,NYC,#FFCC66,Brooklyn
127,Barrow St & Hudson St,40.73172428,-74.00674436,West Village,7,31,NYC,#EDE2F1,Manhattan
128,MacDougal St & Prince St,40.72710258,-74.00297088,Greenwich Village,2,30,NYC,#EE1D24,Manhattan
143,Clinton St & Joralemon St,40.69239502,-73.99337909,Cobble Hill Historic District,7,24,NYC,#893D39,Brooklyn
144,Nassau St & Navy St,40.69839895,-73.98068914,Fort Greene,15,19,NYC,#F8F4BC,Brooklyn
146,Hudson St & Reade St,40.71625008,-74.0091059,Tribeca,9,39,NYC,#E1A0A0,Manhattan
150,E 2 St & Avenue C,40.720873600000004,-73.98085795,Alphabet City,16,29,NYC,#FE3A3A,Manhattan
151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,SoHo,28,33,NYC,#000846,Manhattan
152,Warren St & Church St,40.71473993,-74.00910627,Tribeca,24,24,NYC,#E1A0A0,Manhattan
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,Brooklyn Heights,12,23,NYC,#D5D3F4,Brooklyn
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,University Village,7,35,NYC,#E0000B,Manhattan
164,E 47 St & 2 Ave,40.75323098,-73.97032517,Diamond District,47,47,NYC,#80C9BF,Manhattan
167,E 39 St & 3 Ave,40.7489006,-73.97604882,Murray Hill,42,45,NYC,#3498DB,Manhattan
168,W 18 St & 6 Ave,40.73971301,-73.99456405,Chelsea,41,47,NYC,#DAF2FD,Manhattan
173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,Diamond District,49,51,NYC,#80C9BF,Manhattan
174,E 25 St & 1 Ave,40.7381765,-73.97738662,Kips Bay,27,30,NYC,#FD6D8D,Manhattan
195,Liberty St & Broadway,40.70905623,-74.01043382,Southbridge Towers,43,45,NYC,#FCD22A,Manhattan
212,W 16 St & The High Line,40.74334935,-74.00681753,Chelsea,25,28,NYC,#DAF2FD,Manhattan
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,Brooklyn Heights,13,23,NYC,#D5D3F4,Brooklyn
217,Old Fulton St,40.70277159,-73.99383605,DUMBO,21,39,NYC,#6DE2E9,Brooklyn
223,W 13 St & 7 Ave,40.73781509,-73.99994661,Washington Square Village,0,33,NYC,#C7B39F,Manhattan
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,Tudor City,55,55,NYC,#55E08F,Manhattan
229,Great Jones St,40.72743423,-73.99379025,NoHo Historic District,13,23,NYC,#C8C8C8,Manhattan
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,Downtown Brooklyn,9,23,NYC,#B2C908,Brooklyn
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,East Village,26,39,NYC,#1ABC9C,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,East Village,24,39,NYC,#1ABC9C,Manhattan
238,Bank St & Washington St,40.7361967,-74.00859207,Greenwich Village,3,31,NYC,#EE1D24,Manhattan
239,Willoughby St & Fleet St,40.69196566,-73.9813018,Downtown Brooklyn,17,31,NYC,#B2C908,Brooklyn
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,Fort Greene,21,23,NYC,#F8F4BC,Brooklyn
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,Fort Greene,2,23,NYC,#F8F4BC,Brooklyn
243,Fulton St & Rockwell Pl,40.688226,-73.979382,Fort Greene,7,31,NYC,#F8F4BC,Brooklyn
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,Fort Greene,26,31,NYC,#F8F4BC,Brooklyn
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,Fort Greene,13,23,NYC,#F8F4BC,Brooklyn
247,Perry St & Bleecker St,40.73535398,-74.00483091,Greenwich Village,9,20,NYC,#EE1D24,Manhattan
248,Laight St & Hudson St,40.72185379,-74.00771779,Tribeca,9,23,NYC,#E1A0A0,Manhattan
249,Harrison St & Hudson St,40.71870987,-74.0090009,Tribeca,12,27,NYC,#E1A0A0,Manhattan
251,Mott St & Prince St,40.72317958,-73.99480012,Five Points,2,27,NYC,#990033,Manhattan
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,Washington Square Village,0,24,NYC,#C7B39F,Manhattan
253,W 13 St & 5 Ave,40.73543934,-73.99453948,Washington Square Village,52,55,NYC,#C7B39F,Manhattan
254,W 11 St & 6 Ave,40.73532427,-73.99800419,Washington Square Village,16,31,NYC,#C7B39F,Manhattan
257,Lispenard St & Broadway,40.71939226,-74.00247214,Tribeca,7,39,NYC,#E1A0A0,Manhattan
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,Fort Greene,11,23,NYC,#F8F4BC,Brooklyn
259,South St & Whitehall St,40.70122128,-74.01234218,Southbridge Towers,30,39,NYC,#FCD22A,Manhattan
260,Broad St & Bridge St,40.70365182,-74.01167797,Battery Park City,3,7,NYC,#FFF9AF,Manhattan
261,Johnson St & Gold St,40.69474881,-73.98362464,Brooklyn Navy Yard,7,27,NYC,#DC3F1C,Brooklyn
262,Washington Park,40.6917823,-73.97372990000001,Fort Greene,15,24,NYC,#F8F4BC,Brooklyn
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Southbridge Towers,18,27,NYC,#FCD22A,Manhattan
265,Stanton St & Chrystie St,40.72229346,-73.99147535,Bowery,9,35,NYC,#A39D63,Manhattan
266,Avenue D & E 8 St,40.72368361,-73.97574813,Alphabet City,7,24,NYC,#FE3A3A,Manhattan
267,Broadway & W 36 St,40.75097711,-73.98765428,Koreatown,56,57,NYC,#F0EFE4,Manhattan
268,Howard St & Centre St,40.71910537,-73.99973337,Little Italy,6,27,NYC,#F5F5F5,Manhattan
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,Fort Greene,14,23,NYC,#F8F4BC,Brooklyn
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,Fort Greene,1,31,NYC,#F8F4BC,Brooklyn
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,Clinton Hill,18,19,NYC,#FFCC66,Brooklyn
276,Duane St & Greenwich St,40.71748752,-74.0104554,Tribeca,10,25,NYC,#E1A0A0,Manhattan
278,Concord St & Bridge St,40.69766564,-73.98476437,Brooklyn Navy Yard,12,19,NYC,#DC3F1C,Brooklyn
279,Peck Slip & Front St,40.707873,-74.00166999999999,Southbridge Towers,20,36,NYC,#FCD22A,Manhattan
280,E 10 St & 5 Ave,40.73331967,-73.99510132,Greenwich Village,28,31,NYC,#EE1D24,Manhattan
281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,Diamond District,36,57,NYC,#80C9BF,Manhattan
282,Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,Greenpoint,17,27,NYC,#097575,Brooklyn
285,Broadway & E 14 St,40.73454567,-73.99074142,NoHo,26,51,NYC,#AD5F43,Manhattan
289,Monroe St & Classon Ave,40.684568299999995,-73.95881081,Bed-Stuy,6,19,NYC,#FFABAD,Brooklyn
291,Madison St & Montgomery St,40.713126,-73.984844,Lower East Side,13,20,NYC,#003494,Manhattan
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,NoHo,39,55,NYC,#AD5F43,Manhattan
295,Pike St & E Broadway,40.71406667,-73.99293911,Chinatown,0,24,NYC,#88A764,Manhattan
296,Division St & Bowery,40.71413089,-73.99704679999999,Five Points,1,35,NYC,#990033,Manhattan
